Date,Close,High,Low,Open,Volume
2010-01-05,6.451467514038086,6.487880807458352,6.417461362428547,6.4580882589483135,601904800
2010-01-06,6.348848342895508,6.477047226519875,6.342227598022606,6.45146747766756,552160000
2010-01-07,6.337111473083496,6.379844972085704,6.291068405070493,6.372321398002039,477131200
2010-01-08,6.3792405128479,6.379842800362581,6.291368010013893,6.328683317594562,447610800
2010-01-11,6.322967529296875,6.40993762353118,6.273011807524036,6.403918765054223,462229600
2010-01-12,6.251041412353516,6.3127338927434735,6.211920047406048,6.295278805728234,594459600
2010-01-13,6.339215278625488,6.347641677883672,6.142102947856913,6.255555984254763,605892000
2010-01-14,6.302502155303955,6.333498868494199,6.290163899676365,6.322966270050092,432894000
2010-01-15,6.197173118591309,6.367804066505626,6.195367461828881,6.347640899325191,594067600
2010-01-19,6.471326351165772,6.47584049361326,6.2365969707888,6.269398533862063,730007600
2010-01-20,6.371717929840088,6.486674891699071,6.3046088752892695,6.467414949835066,612152800
2010-01-21,6.261575222015381,6.419266090887947,6.235694935607777,6.3822513187179455,608154400
2010-01-22,5.951008796691895,6.244421252148021,5.933253971692852,6.22275417000318,881767600
2010-01-25,6.111104965209961,6.160157029217434,6.024435456999483,6.094252571996611,1065699600
2010-01-26,6.197474956512451,6.431302317713258,6.096360573968853,6.197775899349655,1867110000
2010-01-27,6.255857944488525,6.33711011643965,6.004575847197516,6.224861227692589,1722568400
2010-01-28,5.997351169586182,6.184232615548539,5.979596349388274,6.167079680902612,1173502400
2010-01-29,5.779776096343994,6.0849253109659465,5.725306646729277,6.05122051588178,1245952400
2010-02-01,5.860126972198486,5.898345917430051,5.756905966858612,5.789106054008692,749876400
2010-02-02,5.894132137298584,5.907975509525003,5.819500313390166,5.895637253463911,698342400
2010-02-03,5.995546817779541,6.024737871610872,5.850796525367367,5.873366836685999,615328000
2010-02-04,5.779475688934326,5.969666750026578,5.765030432027498,5.920312925847301,757652000
2010-02-05,5.88209342956543,5.89834434204499,5.743362002184347,5.796929021216515,850306800
2010-02-08,5.841769695281982,5.954921813326952,5.838158380532967,5.889016926329096,478270800
2010-02-09,5.904061794281006,5.943484095725728,5.860726834641201,5.91098307689227,632886800
2010-02-10,5.87186336517334,5.916402513346541,5.845983078914016,5.895035165286074,370361600
2010-02-11,5.97869348526001,6.0111949052638085,5.839962071377975,5.864638978727041,550345600
2010-02-12,6.030155181884766,6.068073178458809,5.883298281323169,5.961842358404085,655468800
2010-02-16,6.121038436889648,6.129765378733116,6.064462380073955,6.0771015794095895,543737600
2010-02-17,6.095457553863525,6.148421880884096,6.044598621119907,6.144810567189202,436396800
2010-02-18,6.106894016265869,6.13578413084111,6.046405702998772,6.067771843810248,422825200
2010-02-19,6.068976402282715,6.1150198620807625,6.052124001791336,6.074694719136381,415469600
2010-02-22,6.03135871887207,6.093953629779706,5.994343951639114,6.08913894570441,390563600
2010-02-23,5.930243968963623,6.058743752775308,5.889617889778194,6.018719157494267,575094800
2010-02-24,6.038580894470215,6.062053631168325,5.953716223438179,5.965452993580057,460566400
2010-02-25,6.078907012939453,6.104787296426052,5.92512882100587,5.939874619986777,665126000
2010-02-26,6.157752513885498,6.174303971386686,6.078907484030895,6.090342912295723,507460800
