,Sharpe Ratio,Max Drawdown,Annualized Return,Sortino Ratio,Calmar Ratio
Trading Strategy,0.0759483857339032,-0.2619055614542619,-0.11023757626689334,0.11504807930224716,3.4027043481974175
S&P 500,0.10965336017428941,-0.08485144350207365,0.2389044896329433,0.14555105873086985,14.583736051007268
