Date,Close,High,Low,Open,Volume,Return,Volatility,Momentum,Predicted_Return,Signal,Strategy_Return,Cumulative_Strategy_Return,Cumulative_Market_Return
2024-02-05,186.5598907470703,188.1205280355869,184.73087577921012,187.02708693103884,69668800,0.0098465579294921,0.0130973594012315,187.01053292410717,0.002213778,1,0.0098465579294921,1.0098465579294922,1.0098465579294922
2024-02-06,188.1702423095703,188.180177168222,185.65534280788864,185.7448020389232,43490800,0.0086318208916795,0.013118538222437,187.39489164806548,0.002213778,1,0.0086318208916795,1.0185633725456187,1.0185633725456187
2024-02-07,188.2795867919922,189.9097985097057,187.48435823433903,189.5022417883465,53439000,0.000581093381609,0.01211154794325,187.57713099888392,-0.0062811277,-1,0.000581093381609,1.0191552529801544,1.0191552529801544
2024-02-08,187.19610595703125,188.40881099372643,186.2318937425713,188.25971226684047,40962000,-0.0057546378416367,0.0121830228835748,187.7276567731585,0.0019393413,1,0.0057546378416367,1.0250201223654567,1.0132903835948521
2024-02-09,187.9624786376953,189.0971204380579,187.11646725876847,187.76340641648085,45155200,0.0040939563178732,0.0121568479386134,187.8649742489769,0.0019393413,1,0.0040939563178732,1.029216509971362,1.0174387501626105
2024-02-12,186.2704467773437,187.7833074995908,185.9121380585768,187.5344824223104,41781900,-0.0090019660977819,0.0123169821730111,187.9501204717727,0.033028036,1,-0.0090019660977819,1.0199515378413222,1.008279801027077
2024-02-13,184.1703643798828,185.33487911795885,182.64755610649428,184.89694454758447,56529500,-0.0112743724718243,0.0125774958007325,187.9196428571429,-0.0037100362,-1,-0.0112743724718243,1.0084522243004892,0.9969120789944809
2024-02-14,183.2845458984375,184.6580651852537,181.5825908741524,184.44906062504623,54630500,-0.0048097775362933,0.0123165803409191,187.95537966773625,0.033028036,1,0.0048097775362933,1.0133026551553546,0.9921171536712737
2024-02-15,182.9959259033203,183.622969993776,180.4977274519665,182.68738521978767,65434500,-0.0015747099336848,0.0122620096134535,188.0223410470145,0.02280424,1,-0.0015747099336848,1.0117069973984523,0.9905548569340085
2024-02-16,181.4532012939453,183.98127264473297,180.816209688257,182.5579852711476,49701400,-0.0084303768062576,0.0099329755904867,187.73419698079428,-0.00083660916,-1,-0.0084303768062576,1.003177926192856,0.9822041062427862
