Date,Close,High,Low,Open,Volume,Return,Volatility,Momentum,Strategy_Return,Cumulative_Strategy_Return,Cumulative_Market_Return
2024-02-02,4958.60986328125,4975.2900390625,4907.990234375,4916.06005859375,3974350000,0.0106844460775146,0.0071383127061962,4824.356259300595,0.0106844460775146,1.0106844460775146,1.0106844460775146
2024-02-05,4942.81005859375,4957.18994140625,4918.08984375,4957.18994140625,4023640000,-0.0031863375266721,0.0071284006791354,4836.457682291667,-0.0031863375266721,1.007464064299354,1.007464064299354
2024-02-06,4954.22998046875,4957.77001953125,4934.8798828125,4950.16015625,4440880000,0.0023104108269635,0.0071267538488928,4848.695289248512,0.0023104108269635,1.009791720181288,1.009791720181288
2024-02-07,4995.06005859375,4999.89013671875,4969.0498046875,4973.0498046875,4895590000,0.00824145796339,0.0067564235033648,4859.720052083333,0.00824145796339,1.0181138761949415,1.0181138761949415
2024-02-08,4997.91015625,5000.39990234375,4987.08984375,4995.16015625,4341860000,0.0005705832608251,0.0067140461618184,4871.215773809524,0.0005705832608251,1.0186947949303122,1.0186947949303122
2024-02-09,5026.60986328125,5030.06005859375,5000.33984375,5004.169921875,3912990000,0.0057423415255595,0.0067159344018854,4882.794805617559,0.0057423415255595,1.0245444883531118,1.0245444883531118
2024-02-12,5021.83984375,5048.39013671875,5016.830078125,5026.830078125,3805740000,-0.0009489536011326,0.0067225286147091,4894.299548921131,-0.0009489536011326,1.0235722431713687,1.0235722431713687
2024-02-13,4953.169921875,4971.2998046875,4920.31005859375,4967.93994140625,4302190000,-0.0136742556536254,0.0075789135813531,4902.363351004465,-0.0136742556536254,1.0095756546382886,1.0095756546382886
2024-02-14,5000.6201171875,5002.52001953125,4956.4501953125,4976.43994140625,3845600000,0.0095797632750176,0.0076594542760853,4913.536690848215,0.0095797632750176,1.0192471504179443,1.0192471504179443
2024-02-15,5029.72998046875,5032.72021484375,4999.43994140625,5003.14013671875,4137970000,0.0058212506847294,0.0074712756669202,4927.370977492559,0.0058212506847294,1.0251804435902234,1.0251804435902234
2024-02-16,5005.56982421875,5038.7001953125,4999.52001953125,5031.1298828125,3833270000,-0.0048034698371121,0.0075201937166354,4938.067638578869,-0.0048034698371121,1.0202560202518405,1.0202560202518405
2024-02-20,4975.509765625,4993.7099609375,4955.02001953125,4989.31982421875,4034880000,-0.0060053220011653,0.0073508781140645,4944.529529389881,-0.0060053220011653,1.0141290543266008,1.0141290543266008
2024-02-21,4981.7998046875,4983.2099609375,4946.0,4963.02978515625,3788390000,0.0012641999229821,0.0073482965823019,4950.785226004465,0.0012641999229821,1.0154111161989745,1.0154111161989745
2024-02-22,5087.02978515625,5094.39013671875,5038.830078125,5038.830078125,4051710000,0.021122884217414,0.0085279607004425,4961.377115885417,0.021122884217414,1.0368595276395205,1.0368595276395205
2024-02-23,5088.7998046875,5111.06005859375,5081.4599609375,5100.919921875,3672790000,0.0003479475462115,0.0085322439035206,4971.865211123512,0.0003479475462115,1.0372203003679288,1.0372203003679288
